Lyrics
Play with me
Hey baby play with me
Yeah baby play with me oh
Brr! Dirty dirty 잼잼
(Hey) (Eh) (Hey)
Brr! Dirty dirty 잼잼
(Hey) (Eh) (Hey)
Brr! Dirty dirty 잼잼
N/A
하기 힘든 건 내일 해
괜히 애써서 안 해도 돼 baby (내가 호시)
다들 내게 말해
좀더 Dirty한 Jamming을 원해
폰 에게 말해둬 잠시 날고 오겠다고
주변시선에 발목 잡히지 말고
자유롭게 즐겨 준비 따윈 skip
느낀 대로 조절 할 필요 없어 수위
N/A
아무 때나 누가 우릴 따라온다 해
어깨 털고가
그냥 가볍게 따라오면 돼
Say my name Say my name
Oh 더 미친 듯이 떠나갈 듯이
Say my name Say my name Oh
Brr! Dirty dirty 잼잼
N/A
(Hey) (Eh) (Hey)
Brr! Dirty dirty 잼잼
(Hey) (Eh) (Hey)
Brr! Dirty dirty 잼잼
N/A
Jamming mouths up
Like bad traffic rush hour rapping
막차 잡는 듯 벅찬 BPM의 rhythm
내겐 그저 그런 beat 중 하나일 뿐
I just beat를 탈 뿐
내킬 대로 달리는 중 uh (Skrrt)
I’ma keep grinding like this
솔까 나같이 랩 하는 애
한 번도 못 봤지 (Oh No)
Yeah 이건 자극제 거기 딱 기다려
곧장 따라잡을게 yup
N/A
아무 때나 누가 우릴 따라온다 해
어깨 털고가
그냥 가볍게 따라오면 돼
Say my name Say my name
Oh 더 미친 듯이 떠나갈 듯이
Say my name Say my name Oh
Brr! Dirty dirty 잼잼
N/A
(Hey) (Eh) (Hey)
Brr! Dirty dirty 잼잼
(Hey) (Eh) (Hey)
Brr! Dirty dirty 잼잼
N/A
Come come 내 손짓 따라 Baby
Don’t don’t 지난 일은 뒤로 Baby
이리 온 원하는 거 다 줄게
여기저기 모두 Dirty dirty 잼잼
Come come 내 손짓 따라 Baby
Don’t don’t 지난 일은 뒤로 Baby
이리 온 원하는거 다 줄게
여기저기 모두 dirty dirty 잼잼
N/A
(Hey) (Eh) (Hey)
Brr! Dirty dirty 잼잼
(Hey) (Eh) (Hey)
Brr! Dirty dirty 잼잼
N/A
Go dirty go go go dirty go 잼잼
Go dirty go go go dirty go 잼잼
Go dirty go go go dirty go 잼잼
Go dirty go go go dirty
Brr! Dirty dirty 잼잼
