Lyrics
When I first met you
5월부터 내 모든 계절은 only you
태양 아래 윤슬처럼 (반짝이는 맘을)
너에게 다 줄게
N/A
"For the 10,000 hours I’ve been with you"
I used all thirteen parts of my heart
N/A
내 옆에 있어 주면 돼
난 모두 다 보여줄게
하나부터 열 세 가지
N/A
Everyday 널 생각할게
어떤 일 있어도 손 놓지 않을게 (계속 안아줄게)
널 외롭게 두지 않을게
처음의 마음을 널 위해 지킬게
N/A
You always make my heart beat (BEEP)
"You make my day (day), You made my dawn (dawn)"
You always make my heart beat (BEEP)
"You make my day (day), You made my dawn (dawn)"
You always make my heart beat
N/A
너를 보면 오늘도 난
마음이 자꾸 새어 나와
예고 없는 소나기처럼 (내리는 마음을)
Yeh yeh give it to you
N/A
"For the 10,000 hours I’ve been with you"
I used all thirteen parts of my heart
N/A
내 옆에 있어 주면 돼
난 모두 다 보여줄게
하나부터 열 세 가지
N/A
Every time 널 알아갈게
너와의 미래를 겁먹지 않을게
(너만 바라볼게)
잠들기 전에 연락할게
힘든 일 있을 때 내 어깰 내어줄게
N/A
You always make my heart beat (BEEP)
"You make my day (day), You made my dawn (dawn)"
You always make my heart beat(BEEP)
"You make my day (day), You made my dawn (dawn)"
You always make my heart beat
N/A
I’ll never go back to being alone
너 없이는 아무런 의미 없으니까
(너만 사랑할게)
열 세 가지 나의 약속을
어떤 일 있어도 널 위해 지킬게
N/A
You always make my heart beat (BEEP)
"You make my day (day), You made my dawn (dawn)"
You always make my heart beat (BEEP)
"You make my day (day), You made my dawn (dawn)"
You always make my heart beat
